STATEFP,state.short.name,state.name,STATENS,contiguous.united.states,is.state
1,AL,Alabama,01779775,TRUE,TRUE
2,AK,Alaska,01785533,FALSE,TRUE
4,AZ,Arizona,01779777,TRUE,TRUE
5,AR,Arkansas,00068085,TRUE,TRUE
6,CA,California,01779778,TRUE,TRUE
8,CO,Colorado,01779779,TRUE,TRUE
9,CT,Connecticut,01779780,TRUE,TRUE
10,DE,Delaware,01779781,TRUE,TRUE
11,DC,District of Columbia,01702382,TRUE,TRUE
12,FL,Florida,00294478,TRUE,TRUE
13,GA,Georgia,01705317,TRUE,TRUE
15,HI,Hawaii,01779782,FALSE,TRUE
16,ID,Idaho,01779783,TRUE,TRUE
17,IL,Illinois,01779784,TRUE,TRUE
18,IN,Indiana,00448508,TRUE,TRUE
19,IA,Iowa,01779785,TRUE,TRUE
20,KS,Kansas,00481813,TRUE,TRUE
21,KY,Kentucky,01779786,TRUE,TRUE
22,LA,Louisiana,01629543,TRUE,TRUE
23,ME,Maine,01779787,TRUE,TRUE
24,MD,Maryland,01714934,TRUE,TRUE
25,MA,Massachusetts,00606926,TRUE,TRUE
26,MI,Michigan,01779789,TRUE,TRUE
27,MN,Minnesota,00662849,TRUE,TRUE
28,MS,Mississippi,01779790,TRUE,TRUE
29,MO,Missouri,01779791,TRUE,TRUE
30,MT,Montana,00767982,TRUE,TRUE
31,NE,Nebraska,01779792,TRUE,TRUE
32,NV,Nevada,01779793,TRUE,TRUE
33,NH,New Hampshire,01779794,TRUE,TRUE
34,NJ,New Jersey,01779795,TRUE,TRUE
35,NM,New Mexico,00897535,TRUE,TRUE
36,NY,New York,01779796,TRUE,TRUE
37,NC,North Carolina,01027616,TRUE,TRUE
38,ND,North Dakota,01779797,TRUE,TRUE
39,OH,Ohio,01085497,TRUE,TRUE
40,OK,Oklahoma,01102857,TRUE,TRUE
41,OR,Oregon,01155107,TRUE,TRUE
42,PA,Pennsylvania,01779798,TRUE,TRUE
44,RI,Rhode Island,01219835,TRUE,TRUE
45,SC,South Carolina,01779799,TRUE,TRUE
46,SD,South Dakota,01785534,TRUE,TRUE
47,TN,Tennessee,01325873,TRUE,TRUE
48,TX,Texas,01779801,TRUE,TRUE
49,UT,Utah,01455989,TRUE,TRUE
50,VT,Vermont,01779802,TRUE,TRUE
51,VA,Virginia,01779803,TRUE,TRUE
53,WA,Washington,01779804,TRUE,TRUE
54,WV,West Virginia,01779805,TRUE,TRUE
55,WI,Wisconsin,01779806,TRUE,TRUE
56,WY,Wyoming,01779807,TRUE,TRUE
60,AS,American Samoa,01802701,FALSE,FALSE
66,GU,Guam,01802705,FALSE,FALSE
69,MP,Northern Mariana Islands,01779809,FALSE,FALSE
72,PR,Puerto Rico,01779808,FALSE,FALSE
74,UM,U.S. Minor Outlying Islands,01878752,FALSE,FALSE
78,VI,U.S. Virgin Islands,01802710,FALSE,FALSE
