statefp,geoid,namelsad
24.0,2707,Congressional District 7
24.0,2702,Congressional District 2
24.0,2706,Congressional District 6
24.0,2708,Congressional District 8
14.0,1701,Congressional District 1
14.0,1718,Congressional District 18
14.0,1707,Congressional District 7
14.0,1702,Congressional District 2
28.0,3101,Congressional District 1
5.0,0636,Congressional District 36
5.0,0616,Congressional District 16
5.0,0646,Congressional District 46
5.0,0637,Congressional District 37
5.0,0633,Congressional District 33
5.0,0615,Congressional District 15
15.0,1802,Congressional District 2
15.0,1809,Congressional District 9
15.0,1806,Congressional District 6
15.0,1808,Congressional District 8
5.0,0653,Congressional District 53
5.0,0647,Congressional District 47
5.0,0631,Congressional District 31
5.0,0603,Congressional District 3
5.0,0621,Congressional District 21
5.0,0648,Congressional District 48
5.0,0610,Congressional District 10
4.0,0501,Congressional District 1
4.0,0503,Congressional District 3
4.0,0504,Congressional District 4
4.0,0502,Congressional District 2
15.0,1801,Congressional District 1
5.0,0634,Congressional District 34
5.0,0652,Congressional District 52
5.0,0630,Congressional District 30
5.0,0618,Congressional District 18
5.0,0620,Congressional District 20
5.0,0642,Congressional District 42
5.0,0625,Congressional District 25
19.0,2204,Congressional District 4
19.0,2202,Congressional District 2
19.0,2206,Congressional District 6
16.0,1901,Congressional District 1
5.0,0632,Congressional District 32
5.0,0643,Congressional District 43
5.0,0635,Congressional District 35
5.0,0613,Congressional District 13
5.0,0626,Congressional District 26
5.0,0644,Congressional District 44
5.0,0619,Congressional District 19
16.0,1904,Congressional District 4
16.0,1902,Congressional District 2
24.0,2701,Congressional District 1
24.0,2703,Congressional District 3
24.0,2704,Congressional District 4
24.0,2705,Congressional District 5
5.0,0649,Congressional District 49
5.0,0605,Congressional District 5
5.0,0624,Congressional District 24
28.0,3103,Congressional District 3
28.0,3102,Congressional District 2
5.0,0629,Congressional District 29
5.0,0607,Congressional District 7
5.0,0606,Congressional District 6
5.0,0639,Congressional District 39
14.0,1714,Congressional District 14
43.0,4701,Congressional District 1
43.0,4703,Congressional District 3
43.0,4705,Congressional District 5
43.0,4704,Congressional District 4
5.0,0611,Congressional District 11
38.0,4101,Congressional District 1
38.0,4103,Congressional District 3
38.0,4105,Congressional District 5
20.0,2301,Congressional District 1
20.0,2302,Congressional District 2
43.0,4707,Congressional District 7
